,DEPT,CALI,BS,hole enlarged,GR,NPHS,PE,RT20,RT30,RT60,RT90,RXO,RT10,RHOB (kg/m3),Bulk_Density_gm/cm3,NN_predicted_Density,xgb_pred_Density
0,3039,223.7052,222,1.71,89.6034,0.077,3.0918,29.3381,29.1769,28.89,28.8708,29.8072,29.8072,2652.8677,2.6528677,2.648564635,2.6619146
1,3039.1,223.6801,222,1.68,88.6899,0.0751,3.0162,31.8601,31.6544,31.3372,31.3186,32.3485,32.3485,2654.0552,2.6540552,2.658839448,2.639171
2,3039.2,223.5829,222,1.58,85.3678,0.0726,3.0197,39.6618,39.3065,38.9005,38.8939,40.233,40.233,2652.8193,2.6528193,2.664750311,2.6551266
3,3039.3,223.6216,222,1.62,86.129,0.0729,3.0702,43.9966,43.5412,43.1077,43.122,44.6006,44.6006,2652.4221,2.6524221,2.664386462,2.6622055
4,3039.4,223.4109,222,1.41,87.7569,0.0713,3.1098,47.8205,47.2652,46.8425,46.8921,48.4216,48.4216,2654.939,2.654939,2.666494858,2.6609664
5,3039.5,223.5042,222,1.5,88.7289,0.07,3.1367,51.1657,50.5152,50.1469,50.2462,51.7336,51.7336,2663.3711,2.6633711,2.668840863,2.6682765
6,3039.6,223.6028,222,1.6,87.0893,0.0695,3.134,57.9763,57.1727,57.0497,57.2921,58.5606,58.5606,2684.8743,2.6848743,2.668683577,2.6660976
7,3039.7,223.5168,222,1.52,85.0008,0.071,3.1462,60.6205,60.0007,60.0722,60.3981,61.4898,61.4898,2692.9587,2.6929587,2.673811345,2.664669
8,3039.8,223.443,222,1.44,85.0125,0.0713,3.1638,62.3192,61.2994,61.5918,61.988,62.8467,62.8467,2693.9236,2.6939236,2.677103854,2.6647124
9,3039.9,223.4735,222,1.47,86.9878,0.0687,3.2133,62.9833,61.8264,62.5762,63.0614,63.3442,63.3442,2686.804,2.686804,2.682421296,2.6706033
10,3040,223.8044,222,1.8,87.1869,0.0722,3.2234,66.2253,64.8722,65.9432,66.5085,66.5693,66.5693,2679.8547,2.6798547,2.687216173,2.6776807
11,3040.1,223.8723,222,1.87,85.0321,0.0738,3.2217,73.4445,71.6587,73.2541,73.9943,73.8546,73.8546,2680.5315,2.6805315,2.684873994,2.6841545
